"id";"uri";"data";"dataHoraRegistro";"idOrgao";"uriOrgao";"siglaOrgao";"idEvento";"uriEvento";"aprovacao";"votosSim";"votosNao";"votosOutros";"descricao";"ultimaAberturaVotacao_dataHoraRegistro";"ultimaAberturaVotacao_descricao";"ultimaApresentacaoProposicao_dataHoraRegistro";"ultimaApresentacaoProposicao_descricao";"ultimaApresentacaoProposicao_idProposicao";"ultimaApresentacaoProposicao_uriProposicao"
"465498-2";"https://dadosabertos.camara.leg.br/api/v2/votacoes/465498-2";"2010-02-02";"2010-02-02T17:32:47";"6697";"https://dadosabertos.camara.leg.br/api/v2/orgaos/6697";"CPI-DESA";"23066";"https://dadosabertos.camara.leg.br/api/v2/eventos/23066";"1";"0";"0";"0";"Aprovado por unanimidade.";"";"";"2010-02-01T11:13:07";"Apresentação do REQ 68/2010 CPI-DESA, pela Dep. Andreia Zito, que ""requer seja enviada diligência ao Município de Luziânia-GO para investigar o desaparecimento de adolescentes naquela região.""";"0";""
"465500-2";"https://dadosabertos.camara.leg.br/api/v2/votacoes/465500-2";"2010-02-02";"2010-02-02T17:32:56";"6697";"https://dadosabertos.camara.leg.br/api/v2/orgaos/6697";"CPI-DESA";"23066";"https://dadosabertos.camara.leg.br/api/v2/eventos/23066";"1";"0";"0";"0";"Aprovado por unanimidade.";"";"";"2010-02-02T09:53:05";"Apresentação do REQ 69/2010 CPI-DESA, pela Dep. Bel Mesquita, que ""solicita realização de audiência pública externa para debater as causas, consequências e responsáveis pelos desaparecimentos de crianças e adolescentes no Brasil, a ser realizada na cidade de Luziânia - Goiás.""";"0";""
"465502-2";"https://dadosabertos.camara.leg.br/api/v2/votacoes/465502-2";"2010-02-02";"2010-02-02T17:33:08";"6697";"https://dadosabertos.camara.leg.br/api/v2/orgaos/6697";"CPI-DESA";"23066";"https://dadosabertos.camara.leg.br/api/v2/eventos/23066";"1";"0";"0";"0";"Aprovado por unanimidade.";"";"";"2010-02-02T11:31:35";"Apresentação do REQ 70/2010 CPI-DESA, pelo Dep. Vanderlei Macris, que ""solicita que seja convocado o Secretário de Segurança Pública do Estado de Goiás, Senhor Ernesto Roller, para prestar esclarecimentos sobre a atuação desta no combate aos fatos investigados por esta Comissão.""";"0";""
"465581-2";"https://dadosabertos.camara.leg.br/api/v2/votacoes/465581-2";"2010-02-02";"2010-02-02T17:33:18";"6697";"https://dadosabertos.camara.leg.br/api/v2/orgaos/6697";"CPI-DESA";"23066";"https://dadosabertos.camara.leg.br/api/v2/eventos/23066";"1";"0";"0";"0";"Aprovado por unanimidade.";"";"";"2010-02-02T17:19:36";"Apresentação do REQ 71/2010 CPI-DESA, pelo Dep. Vanderlei Macris, que ""solicita que sejam convocados: o Delegado Regional de Luziânia, Dr. José Luiz de Araújo e o delegado-chefe da 1ª Delegacia Distrital de Polícia de Luziânia, Rosivaldo Linhares, para prestarem esclarecimetnos sobre a atuação da Polícia Civil no combate aos fatos investigados por esta Comissão.""";"0";""
"465470-36";"https://dadosabertos.camara.leg.br/api/v2/votacoes/465470-36";"2010-02-03";"2010-02-03T17:18:27";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"23078";"https://dadosabertos.camara.leg.br/api/v2/eventos/23078";"1";"0";"0";"0";"Aprovada a Redação Final assinada pelo Relator, Dep. Mendes Ribeiro Filho (PMDB-RS).";"2010-02-03T17:18:01";"Votação da Redação Final.";"2010-02-03T17:14:50";"Parecer proferido em Plenário pelo Relator, Dep. Mendes Ribeiro Filho (PMDB-RS), pela Comissão de Constituição e Justiça e de Cidadania, que conclui pela constitucionalidade, juridicidade e técnica legislativa do projeto.";"465697";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/465697"
"114145-70";"https://dadosabertos.camara.leg.br/api/v2/votacoes/114145-70";"2010-02-03";"2010-02-03T18:09:09";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"23078";"https://dadosabertos.camara.leg.br/api/v2/eventos/23078";"1";"0";"0";"0";"Aprovada a Proposta de Emenda à Constituição nº 47, de 2003, em segundo turno. Sim: 376; abstenção: 2; total: 378.";"2010-02-03T17:20:11";"Votação em segundo turno.";"2003-05-07T10:45:54";"Apresentação da Proposta de Emenda à Constituição  pelo Senado Federal - Antonio Carlos Valadares";"0";""
"464862-11";"https://dadosabertos.camara.leg.br/api/v2/votacoes/464862-11";"2010-02-03";"2010-02-09T15:30:03";"4";"https://dadosabertos.camara.leg.br/api/v2/orgaos/4";"MESA";"23077";"https://dadosabertos.camara.leg.br/api/v2/eventos/23077";"0";"0";"0";"0";"Rejeitado o Requerimento, nos termos do parecer do Relator.";"";"";"2010-02-09T15:20:35";"Parecer do Relator, Dep. Rafael Guerra, pela rejeição, instruído no Processo administrativo nº 100.066/2010.";"0";""
"366369-27";"https://dadosabertos.camara.leg.br/api/v2/votacoes/366369-27";"2010-02-03";"2010-02-09T15:31:20";"4";"https://dadosabertos.camara.leg.br/api/v2/orgaos/4";"MESA";"23077";"https://dadosabertos.camara.leg.br/api/v2/eventos/23077";"1";"0";"0";"0";"Aprovado por unanimidade o Parecer, pela rejeição.";"";"";"2010-02-09T15:21:47";"Parecer do Relator, Dep. Rafael Guerra (PSDB-MG), pela rejeição.";"465902";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/465902"
"465617-3";"https://dadosabertos.camara.leg.br/api/v2/votacoes/465617-3";"2010-02-03";"2010-02-03T16:49:17";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"23078";"https://dadosabertos.camara.leg.br/api/v2/eventos/23078";"1";"0";"0";"0";"Aprovado o Requerimento.";"";"";"2010-02-03T14:09:43";"Apresentação da Requerimento nº 6163/2010, dos Líderes, que ""requer, nos termos do art. 155 do RICD, urgência para a apreciação do PL 6.720/2010"".";"0";""
"378478-303";"https://dadosabertos.camara.leg.br/api/v2/votacoes/378478-303";"2010-02-03";"2010-02-03T17:10:00";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"23078";"https://dadosabertos.camara.leg.br/api/v2/eventos/23078";"1";"0";"0";"0";"Aprovado o Requerimento do Dep. Ronaldo Caiado, na qualidade de Líder do DEM, que solicita a retirada de pauta deste projeto.";"";"";"2009-12-08T20:21:51";"Parecer proferido em Plenário pelo Relator, Dep. Henrique Eduardo Alves (PMDB-RN), pela Comissão Especial, que conclui pela aprovação da Emenda de Plenário nº 385, na forma da Subemenda Substitutiva Global de Plenário, e pela rejeição das de nºs 363 a 384, e 386 a 393.";"463278";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/463278"
