"id";"uri";"data";"dataHoraRegistro";"idOrgao";"uriOrgao";"siglaOrgao";"idEvento";"uriEvento";"aprovacao";"votosSim";"votosNao";"votosOutros";"descricao";"ultimaAberturaVotacao_dataHoraRegistro";"ultimaAberturaVotacao_descricao";"ultimaApresentacaoProposicao_dataHoraRegistro";"ultimaApresentacaoProposicao_descricao";"ultimaApresentacaoProposicao_idProposicao";"ultimaApresentacaoProposicao_uriProposicao"
"522366-48";"https://dadosabertos.camara.leg.br/api/v2/votacoes/522366-48";"2012-02-07";"2012-02-07T18:16:50";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"28179";"https://dadosabertos.camara.leg.br/api/v2/eventos/28179";"1";"0";"0";"0";"Aprovada a Medida Provisória, na forma do Projeto de Lei de Conversão apresentado.";"2012-02-07T18:16:23";"Votação, quanto ao mérito, em turno único.";"2012-02-07T18:09:55";"Parecer proferido em Plenário e entregue à Mesa pelo Relator, Dep. Zeca Dirceu (PT/PR), pela Comissão Mista, que conclui pelo atendimento dos pressupostos constitucionais de relevância e urgência; pela constitucionalidade, juridicidade e técnica legislativa desta Medida Provisória e das Emendas apresentadas; pela adequação financeira e orçamentária desta Medida Provisória e das Emendas apresentadas; e, no mérito, pela aprovação desta Medida Provisória e da Emenda de n.º 5, na forma do Projeto de Lei de Conversão apresentado, e pela rejeição das Emendas de n.ºs 1, 2, 3, 4. (As emendas de n.ºs 6 e 7 foram indeferidas liminarmente).";"534141";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/534141"
"522364-40";"https://dadosabertos.camara.leg.br/api/v2/votacoes/522364-40";"2012-02-07";"2012-02-07T18:03:47";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"28179";"https://dadosabertos.camara.leg.br/api/v2/eventos/28179";"1";"0";"0";"0";"Aprovado o Requerimento do Dep. Odair Cunha (PT/MG), que solicita preferência para apreciação da MPV 546/11, item 3, sobre os demais itens da pauta.";"";"";"2011-10-20T18:22:46";"Apresentação da Mensagem n. 421/2011, pelo Poder Executivo, que: ""Submete à apreciação do Congresso Nacional o texto da Medida Provisória n° 544/2011, que 'Estabelece normas especiais para as compras, as contratações de produtos, de sistemas de defesa, e de desenvolvimento de produtos e de sistemas de defesa, e dispõe sobre regras de incentivo à área estratégica de defesa e dá outras providências'"".";"524449";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/524449"
"522366-40";"https://dadosabertos.camara.leg.br/api/v2/votacoes/522366-40";"2012-02-07";"2012-02-07T18:04:25";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"28179";"https://dadosabertos.camara.leg.br/api/v2/eventos/28179";"1";"0";"0";"0";"Aprovado o Requerimento do Dep. Odair Cunha (PT/MG), que solicita preferência para apreciação da MPV 546/11, item 3, sobre os demais itens da pauta.";"";"";"2011-10-20T18:04:30";"Apresentação da Mensagem n. 423/2011, pelo Poder Executivo, que: ""Submete à apreciação do Congresso Nacional o texto da Medida Provisória nº 546/2011, que 'Dispõe sobre a prestação de auxílio financeiro pela União aos Estados, ao Distrito Federal e aos Municípios, no exercício de 2011, com o o objetivo de fomentar as exportações do País, altera a Lei nº 12.409, de 25 de maio de 2011, e dá outras providências'"".";"524444";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/524444"
"522365-44";"https://dadosabertos.camara.leg.br/api/v2/votacoes/522365-44";"2012-02-07";"2012-02-07T18:07:39";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"28179";"https://dadosabertos.camara.leg.br/api/v2/eventos/28179";"1";"0";"0";"0";"Aprovado o Requerimento do Dep. Odair Cunha (PT/MG), que solicita preferência para apreciação da MPV 546/11, item 3, sobre os demais itens da pauta.";"";"";"2011-10-25T20:10:42";"Apresentação do Requerimento de Retirada de proposição de iniciativa individual n. 3572/2011, pelo Deputado Odair Cunha (PT-MG), que: ""Requer a retirada de Emenda à Medida Provisória nº 545, de 2011"".";"524970";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/524970"
"522366-46";"https://dadosabertos.camara.leg.br/api/v2/votacoes/522366-46";"2012-02-07";"2012-02-07T18:16:14";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"28179";"https://dadosabertos.camara.leg.br/api/v2/eventos/28179";"1";"0";"0";"0";"Aprovado, em apreciação preliminar, o Parecer do Relator, na parte em que manifesta opinião favorável quanto ao atendimento dos pressupostos constitucionais de relevância e urgência e de sua adequação financeira e orçamentária, nos termos do artigo 8º da Resolução nº 01, de 2002-CN.";"2012-02-07T18:16:00";"Votação preliminar em turno único.";"2012-02-07T18:09:55";"Parecer proferido em Plenário e entregue à Mesa pelo Relator, Dep. Zeca Dirceu (PT/PR), pela Comissão Mista, que conclui pelo atendimento dos pressupostos constitucionais de relevância e urgência; pela constitucionalidade, juridicidade e técnica legislativa desta Medida Provisória e das Emendas apresentadas; pela adequação financeira e orçamentária desta Medida Provisória e das Emendas apresentadas; e, no mérito, pela aprovação desta Medida Provisória e da Emenda de n.º 5, na forma do Projeto de Lei de Conversão apresentado, e pela rejeição das Emendas de n.ºs 1, 2, 3, 4. (As emendas de n.ºs 6 e 7 foram indeferidas liminarmente).";"534141";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/534141"
"522366-50";"https://dadosabertos.camara.leg.br/api/v2/votacoes/522366-50";"2012-02-07";"2012-02-07T18:17:05";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"28179";"https://dadosabertos.camara.leg.br/api/v2/eventos/28179";"1";"0";"0";"0";"Aprovada a Redação Final assinada pelo Relator, Dep. Zeca Dirceu (PT/PR).";"2012-02-07T18:16:59";"Votação da Redação Final.";"2012-02-07T18:09:55";"Parecer proferido em Plenário e entregue à Mesa pelo Relator, Dep. Zeca Dirceu (PT/PR), pela Comissão Mista, que conclui pelo atendimento dos pressupostos constitucionais de relevância e urgência; pela constitucionalidade, juridicidade e técnica legislativa desta Medida Provisória e das Emendas apresentadas; pela adequação financeira e orçamentária desta Medida Provisória e das Emendas apresentadas; e, no mérito, pela aprovação desta Medida Provisória e da Emenda de n.º 5, na forma do Projeto de Lei de Conversão apresentado, e pela rejeição das Emendas de n.ºs 1, 2, 3, 4. (As emendas de n.ºs 6 e 7 foram indeferidas liminarmente).";"534141";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/534141"
"534528-2";"https://dadosabertos.camara.leg.br/api/v2/votacoes/534528-2";"2012-02-08";"2012-02-14T11:18:35";"6855";"https://dadosabertos.camara.leg.br/api/v2/orgaos/6855";"CMO";"28180";"https://dadosabertos.camara.leg.br/api/v2/eventos/28180";"1";"0";"0";"0";"Aprovado COM ALTERAÇÃO";"";"";"2012-02-14T10:46:06";"Apresentação do Requerimento n. 16/2011, pelo Deputado Efraim Filho (DEM-PB), que: ""Requer a constituição de Grupo de Trabalho para promover o aprimoramento ao ciclo das operações de repasse da Caixa Econômica Federal, visando a eficácia e a efetividade da execução do objeto contratual pelo mandatário, assim como a celeridade na liberação financeira dos contratados"".";"0";""
"401376-385";"https://dadosabertos.camara.leg.br/api/v2/votacoes/401376-385";"2012-02-14";"2012-02-14T20:34:16";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"28202";"https://dadosabertos.camara.leg.br/api/v2/eventos/28202";"1";"0";"0";"0";"Aprovada a Redação Final assinada pelo Relator, Dep.Arnaldo Faria de Sá (PTB/SP).";"2012-02-14T20:32:33";"Votação da Redação Final.";"2012-02-08T15:35:27";"Apresentação do Requerimento n. 4233/2012, pelo Deputado Arnaldo Faria de Sá (PTB-SP), que: ""Requer inclusão na Ordem do Dia a PEC 270, de 2008 que ""Garante ao servidor que aposentar-se por invalidez permanente o direito dos proventos integrais com paridade. Altera a Constituição Federal de 1988"""".";"534220";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/534220"
"522364-46";"https://dadosabertos.camara.leg.br/api/v2/votacoes/522364-46";"2012-02-14";"2012-02-14T17:35:27";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"28195";"https://dadosabertos.camara.leg.br/api/v2/eventos/28195";"1";"0";"0";"0";"Aprovado o Requerimento dos Srs. Líderes que solicita o encerramendo da discussão.";"";"";"2012-02-14T17:19:51";"Parecer proferido em Plenário e entregue à Mesa pelo Relator, Dep. Carlinhos Almeida (PT/SP), pela Comissão Mista, que conclui pelo atendimento dos pressupostos constitucionais de relevância e urgência; pela constitucionalidade, juridicidade e técnica legislativa; pela adequação financeira e orçamentária desta Medida Provisória e das Emendas a ela apresentadas; e, no mérito, pela aprovação desta Medida Provisória e das Emendas de nºs. 3, 6, 8, 12, 14, 17, 27 e 28, na forma do Projeto de Lei de Conversão apresentado, e pela rejeição das Emendas de nºs. 1, 2, 4, 5, 7, 9, 10, 11, 13, 15, 16, 18, 19, 20, 21, 22, 23, 24, 25, 26 e 30. (A Emenda de n.º de 29 foi indeferida liminarmente).";"534612";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/534612"
"522364-50";"https://dadosabertos.camara.leg.br/api/v2/votacoes/522364-50";"2012-02-14";"2012-02-14T17:38:01";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"28195";"https://dadosabertos.camara.leg.br/api/v2/eventos/28195";"1";"0";"0";"0";"Aprovado, em apreciação preliminar, o Parecer do Relator, na parte em que manifesta opinião favorável quanto ao atendimento dos pressupostos constitucionais de relevância e urgência e de sua adequação financeira e orçamentária, nos termos do artigo 8º da Resolução nº 01, de 2002-CN.";"2012-02-14T17:35:39";"Votação preliminar em turno único.";"2012-02-14T17:19:51";"Parecer proferido em Plenário e entregue à Mesa pelo Relator, Dep. Carlinhos Almeida (PT/SP), pela Comissão Mista, que conclui pelo atendimento dos pressupostos constitucionais de relevância e urgência; pela constitucionalidade, juridicidade e técnica legislativa; pela adequação financeira e orçamentária desta Medida Provisória e das Emendas a ela apresentadas; e, no mérito, pela aprovação desta Medida Provisória e das Emendas de nºs. 3, 6, 8, 12, 14, 17, 27 e 28, na forma do Projeto de Lei de Conversão apresentado, e pela rejeição das Emendas de nºs. 1, 2, 4, 5, 7, 9, 10, 11, 13, 15, 16, 18, 19, 20, 21, 22, 23, 24, 25, 26 e 30. (A Emenda de n.º de 29 foi indeferida liminarmente).";"534612";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/534612"
