"id";"uri";"data";"dataHoraRegistro";"idOrgao";"uriOrgao";"siglaOrgao";"idEvento";"uriEvento";"aprovacao";"votosSim";"votosNao";"votosOutros";"descricao";"ultimaAberturaVotacao_dataHoraRegistro";"ultimaAberturaVotacao_descricao";"ultimaApresentacaoProposicao_dataHoraRegistro";"ultimaApresentacaoProposicao_descricao";"ultimaApresentacaoProposicao_idProposicao";"ultimaApresentacaoProposicao_uriProposicao"
"485274-67";"https://dadosabertos.camara.leg.br/api/v2/votacoes/485274-67";"2011-02-08";"2011-02-08T18:15:10";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"25004";"https://dadosabertos.camara.leg.br/api/v2/eventos/25004";"1";"0";"0";"0";"Aprovado, em apreciação preliminar, o Parecer do Relator, na parte em que manifesta opinião favorável quanto ao atendimento dos pressupostos constitucionais de relevância e urgência e de sua adequação financeira e orçamentária, nos termos do artigo 8º da Resolução nº 01, de 2002-CN.";"2011-02-08T18:13:50";"Votação preliminar em turno único.";"2011-02-08T17:57:15";"Parecer proferido em Plenário e entregue à Mesa pelo Relator, Dep. José Rocha (PR-BA), pela Comissão Mista, que conclui pelo atendimento dos pressupostos constitucionais de relevância e urgência; pela constitucionalidade, juridicidade e técnica legislativa; pela admissibilidade; pela adequação financeira e orçamentária; e, no mérito, pela aprovação desta Medida Provisória, pela aprovação parcial da Emenda de n.º 5, na forma do Projeto de Lei de Conversão apresentado, e pela rejeição das Emendas de n.ºs 1 a 4 e 6 a 11.";"491344";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/491344"
"485274-69";"https://dadosabertos.camara.leg.br/api/v2/votacoes/485274-69";"2011-02-08";"2011-02-08T18:37:09";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"25004";"https://dadosabertos.camara.leg.br/api/v2/eventos/25004";"1";"0";"0";"0";"Aprovada a Medida Provisória n.º 502, de 2010, na forma do Projeto de Lei de Conversão, ressalvados os destaques.";"2011-02-08T18:15:23";"Votação, quanto ao mérito, em turno único.";"2011-02-08T17:57:15";"Parecer proferido em Plenário e entregue à Mesa pelo Relator, Dep. José Rocha (PR-BA), pela Comissão Mista, que conclui pelo atendimento dos pressupostos constitucionais de relevância e urgência; pela constitucionalidade, juridicidade e técnica legislativa; pela admissibilidade; pela adequação financeira e orçamentária; e, no mérito, pela aprovação desta Medida Provisória, pela aprovação parcial da Emenda de n.º 5, na forma do Projeto de Lei de Conversão apresentado, e pela rejeição das Emendas de n.ºs 1 a 4 e 6 a 11.";"491344";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/491344"
"485274-72";"https://dadosabertos.camara.leg.br/api/v2/votacoes/485274-72";"2011-02-08";"2011-02-08T19:11:23";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"25004";"https://dadosabertos.camara.leg.br/api/v2/eventos/25004";"1";"0";"0";"0";"Suprimido o dispositivo.";"2011-02-08T18:38:58";"Votação do inciso VII do art. 56 e seu § 2.º, constante do art. 1.º do Projeto de Lei de Conversão, objeto do Destaque para votação em separado da bancada do PT.";"2011-02-08T17:57:15";"Parecer proferido em Plenário e entregue à Mesa pelo Relator, Dep. José Rocha (PR-BA), pela Comissão Mista, que conclui pelo atendimento dos pressupostos constitucionais de relevância e urgência; pela constitucionalidade, juridicidade e técnica legislativa; pela admissibilidade; pela adequação financeira e orçamentária; e, no mérito, pela aprovação desta Medida Provisória, pela aprovação parcial da Emenda de n.º 5, na forma do Projeto de Lei de Conversão apresentado, e pela rejeição das Emendas de n.ºs 1 a 4 e 6 a 11.";"491344";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/491344"
"485274-75";"https://dadosabertos.camara.leg.br/api/v2/votacoes/485274-75";"2011-02-08";"2011-02-08T19:13:42";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"25004";"https://dadosabertos.camara.leg.br/api/v2/eventos/25004";"1";"0";"0";"0";"Aprovada a Redação Final assinada pelo Relator, Dep. José Rocha (PP-BA).";"2011-02-08T19:13:31";"Votação da Redação Final.";"2011-02-08T17:57:15";"Parecer proferido em Plenário e entregue à Mesa pelo Relator, Dep. José Rocha (PR-BA), pela Comissão Mista, que conclui pelo atendimento dos pressupostos constitucionais de relevância e urgência; pela constitucionalidade, juridicidade e técnica legislativa; pela admissibilidade; pela adequação financeira e orçamentária; e, no mérito, pela aprovação desta Medida Provisória, pela aprovação parcial da Emenda de n.º 5, na forma do Projeto de Lei de Conversão apresentado, e pela rejeição das Emendas de n.ºs 1 a 4 e 6 a 11.";"491344";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/491344"
"485275-43";"https://dadosabertos.camara.leg.br/api/v2/votacoes/485275-43";"2011-02-08";"2011-02-08T19:29:16";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"25004";"https://dadosabertos.camara.leg.br/api/v2/eventos/25004";"1";"0";"0";"0";"Aprovado o Requerimento.";"2011-02-08T19:17:36";"Votação do Requerimento do Dep. Antonio Carlos Magalhães Neto, Líder do DEM, que solicita preferência para apreciação da MPV n.º 504, de 2010, item 3, sobre os demais itens da pauta.";"2010-10-07T11:33:46";"Apresentação da Mensagem n. 566/2010, pelo Poder Executivo, que: ""Submete à apreciação do Conresso Nacional o texto da Medida Provisória nº 503/2010, que ' Ratifica o Protocolo de Intenções firmado entre a União, o Estado do Rio de Janeiro e o Município do Rio de Janeiro, com a finalidade de constituir consórcio público, denominado Autoridade Pública Olímpica - APO'"".";"485399";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/485399"
"485276-43";"https://dadosabertos.camara.leg.br/api/v2/votacoes/485276-43";"2011-02-08";"2011-02-08T19:31:59";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"25004";"https://dadosabertos.camara.leg.br/api/v2/eventos/25004";"1";"0";"0";"0";"Aprovado o Requerimento.";"2011-02-08T19:31:46";"Votação do Requerimento do Dep. Antonio Carlos Magalhães Neto, Líder do DEM, que solicita preferência para apreciação da MPV n.º 504, de 2010, item 3, sobre os demais itens da pauta.";"2010-10-07T12:43:16";"Apresentação da Mensagem n. 567/2010, pelo Poder Executivo, que: ""Submete à deliberação do Congresso Nacional o texto da Medida Provisória nº 504/2010, de 22 de setembro de 2010, que Dá nova redação ao art. 1º da Lei nº 5851, de 7 de dezembro de 1972, que autoriza o poder Executivo  a instituir empresa pública, sob denominação de Empresa Brasileira de Pesquisa  Agropecuária (EMBRAPA)'"".";"485401";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/485401"
"485276-54";"https://dadosabertos.camara.leg.br/api/v2/votacoes/485276-54";"2011-02-09";"2011-02-09T18:11:03";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"25005";"https://dadosabertos.camara.leg.br/api/v2/eventos/25005";"1";"0";"0";"0";"Aprovado, em apreciação preliminar, o Parecer do Relator, na parte em que manifesta opinião favorável quanto ao atendimento dos pressupostos constitucionais de relevância e urgência e de sua adequação financeira e orçamentária, nos termos do artigo 8º da Resolução nº 01, de 2002-CN.";"2011-02-09T18:01:48";"Votação preliminar em turno único.";"2011-02-08T19:40:12";"Parecer proferido em Plenário e entregue à Mesa pelo Relator, Dep. Fernando Coelho Filho (PSB-PE), pela Comissão, que conclui pelo atendimento dos pressupostos constitucionais de relevância e urgência; pela constitucionalidade, juridicidade e técnica legislativa; pela admissibilidade; pela adequação financeira e orçamentária; e, no mérito, pela aprovação desta Medida Provisória.";"491425";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/491425"
"485276-56";"https://dadosabertos.camara.leg.br/api/v2/votacoes/485276-56";"2011-02-09";"2011-02-09T18:11:25";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"25005";"https://dadosabertos.camara.leg.br/api/v2/eventos/25005";"1";"0";"0";"0";"Aprovada a Medida Provisória n.º 504, de 2010.";"2011-02-09T18:11:18";"Votação, quanto ao mérito, em turno único.";"2011-02-08T19:40:12";"Parecer proferido em Plenário e entregue à Mesa pelo Relator, Dep. Fernando Coelho Filho (PSB-PE), pela Comissão, que conclui pelo atendimento dos pressupostos constitucionais de relevância e urgência; pela constitucionalidade, juridicidade e técnica legislativa; pela admissibilidade; pela adequação financeira e orçamentária; e, no mérito, pela aprovação desta Medida Provisória.";"491425";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/491425"
"485276-58";"https://dadosabertos.camara.leg.br/api/v2/votacoes/485276-58";"2011-02-09";"2011-02-09T18:12:38";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"25005";"https://dadosabertos.camara.leg.br/api/v2/eventos/25005";"1";"0";"0";"0";"Aprovada a Redação Final assinada pelo Relator, Dep.Fernando Coelho Filho (PSB-PE).";"2011-02-09T18:11:36";"Votação da Redação Final.";"2011-02-08T19:40:12";"Parecer proferido em Plenário e entregue à Mesa pelo Relator, Dep. Fernando Coelho Filho (PSB-PE), pela Comissão, que conclui pelo atendimento dos pressupostos constitucionais de relevância e urgência; pela constitucionalidade, juridicidade e técnica legislativa; pela admissibilidade; pela adequação financeira e orçamentária; e, no mérito, pela aprovação desta Medida Provisória.";"491425";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/491425"
"394903-54";"https://dadosabertos.camara.leg.br/api/v2/votacoes/394903-54";"2011-02-10";"2011-02-10T10:48:29";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"25006";"https://dadosabertos.camara.leg.br/api/v2/eventos/25006";"1";"0";"0";"0";"Aprovado o Projeto de Decreto Legislativo nº 568, de 2008.";"2011-02-10T10:47:13";"Votação em turno único.";"2008-05-15T10:27:48";"Apresentação do Projeto de Decreto Legislativo.";"0";""
